"Code client","Grille tarifaire","Code Article",Libelle,"Code article client","Prix achat","Prix vente","Eco Taxe","Taxe sorecop",BPU,Devis,"Prix achat"
SANOU13808,2021,HPSU654A,"SAMSUNG ML-D2850B HC Blk",85.57,0,,,0,0,0.00,2021-08-17
SANOU13808,2021,HPSU654A,"SAMSUNG ML-D2850B HC Blk",85.57,0,,,0,0,0.00,2021-08-17
SANOU13808,2021,HPSU654A,"SAMSUNG ML-D2850B HC Blk",85.57,0,,,0,0,0.00,2021-08-17
SANOU13808,2021,HPSU716A,"SAMSUNG MLT-D103L HC Blk",55.12,0,,,0,0,0.00,2021-08-16
SANOU13808,2021,HPSU716A,"SAMSUNG MLT-D103L HC Blk",55.12,0,1,,0,0,0.00,2021-04-26
SANOU13808,2021,HPSU716A,"SAMSUNG MLT-D103L HC Blk",55.12,0,,,0,0,0.00,2021-08-17
SANOU13808,2021,HPSU716A,"SAMSUNG MLT-D103L HC Blk",55.12,0,,,0,0,0.00,2021-08-17
SANOU13808,2021,HPSU716A,"SAMSUNG MLT-D103L HC Blk",55.12,0,,,0,0,0.00,2021-08-17
SANOU13808,2021,HPSU716A,"SAMSUNG MLT-D103L HC Blk",55.12,0,,,0,0,0.00,2021-08-17
SANOU13808,2021,HPSU897A,"SAMSUNG MLT-D203L HC Blk",90.94,0,,,0,0,0.00,2021-08-16
SANOU13808,2021,HPSU897A,"SAMSUNG MLT-D203L HC Blk",90.94,0,1,,0,0,0.00,2021-04-26
SANOU13808,2021,HPSU897A,"SAMSUNG MLT-D203L HC Blk",90.94,0,,,0,0,0.00,2021-08-17
SANOU13808,2021,HPSU897A,"SAMSUNG MLT-D203L HC Blk",90.94,0,,,0,0,0.00,2021-08-17
SANOU13808,2021,HPSU897A,"SAMSUNG MLT-D203L HC Blk",90.94,0,,,0,0,0.00,2021-08-17
SANOU13808,2021,HPSU897A,"SAMSUNG MLT-D203L HC Blk",90.94,0,,,0,0,0.00,2021-08-17
SANOU13808,2021,HPSU951A,"SAMSUNG MLT-D205E Extra HC Blk pour SAMSUNG ML3710D/SCX-5637/5737 haute capacité",109.48,0,1,,0,0,0.00,2021-04-26
SANOU13808,2021,HPSU951A,"SAMSUNG MLT-D205E Extra HC Blk pour SAMSUNG ML3710D/SCX-5637/5737 haute capacité",109.48,0,,,0,0,0.00,2021-08-16
SANOU13808,2021,HPSU951A,"SAMSUNG MLT-D205E Extra HC Blk pour SAMSUNG ML3710D/SCX-5637/5737 haute capacité",109.48,0,,,0,0,0.00,2021-08-17
SANOU13808,2021,HPSU951A,"SAMSUNG MLT-D205E Extra HC Blk pour SAMSUNG ML3710D/SCX-5637/5737 haute capacité",109.48,0,,,0,0,0.00,2021-08-17
SANOU13808,2021,HPSU951A,"SAMSUNG MLT-D205E Extra HC Blk pour SAMSUNG ML3710D/SCX-5637/5737 haute capacité",109.48,0,,,0,0,0.00,2021-08-17
SANOU13808,2021,HPSU951A,"SAMSUNG MLT-D205E Extra HC Blk pour SAMSUNG ML3710D/SCX-5637/5737 haute capacité",109.48,0,,,0,0,0.00,2021-08-17
SANOU13808,2021,HPSU963A,"SAMSUNG MLT-D205L HC Blk",73.4,0,,,0,0,0.00,2021-08-16
SANOU13808,2021,HPSU963A,"SAMSUNG MLT-D205L HC Blk",73.4,0,1,,0,0,0.00,2021-04-26
SANOU13808,2021,HPSU963A,"SAMSUNG MLT-D205L HC Blk",73.4,0,,,0,0,0.00,2021-08-17
SANOU13808,2021,HPSU963A,"SAMSUNG MLT-D205L HC Blk",73.4,0,,,0,0,0.00,2021-08-17
SANOU13808,2021,HPSU963A,"SAMSUNG MLT-D205L HC Blk",73.4,0,,,0,0,0.00,2021-08-17
SANOU13808,2021,HPSU963A,"SAMSUNG MLT-D205L HC Blk",73.4,0,,,0,0,0.00,2021-08-17
